>>>python train_siamese_network.py 

2020-09-18 17:23:49.530751: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
2020-09-18 17:23:49.560168: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2000000000 Hz
2020-09-18 17:23:49.568106: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x56278723bc30 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2020-09-18 17:23:49.568203: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version

Iteration 1/1000000: Train loss: 5.125332, Train Accuracy: 0.453125, lr = 0.001000
Iteration 2/1000000: Train loss: 5.123011, Train Accuracy: 0.546875, lr = 0.001000
Iteration 3/1000000: Train loss: 5.124255, Train Accuracy: 0.468750, lr = 0.001000
Iteration 4/1000000: Train loss: 5.124877, Train Accuracy: 0.515625, lr = 0.001000
Iteration 5/1000000: Train loss: 5.123525, Train Accuracy: 0.484375, lr = 0.001000
Iteration 6/1000000: Train loss: 5.124287, Train Accuracy: 0.421875, lr = 0.001000
Iteration 7/1000000: Train loss: 5.127497, Train Accuracy: 0.453125, lr = 0.001000
Iteration 8/1000000: Train loss: 5.122477, Train Accuracy: 0.515625, lr = 0.001000
Iteration 9/1000000: Train loss: 5.121424, Train Accuracy: 0.515625, lr = 0.001000
Iteration 10/1000000: Train loss: 5.122502, Train Accuracy: 0.500000, lr = 0.001000
Iteration 11/1000000: Train loss: 5.121352, Train Accuracy: 0.546875, lr = 0.001000
Iteration 12/1000000: Train loss: 5.123273, Train Accuracy: 0.437500, lr = 0.001000
Iteration 13/1000000: Train loss: 5.120938, Train Accuracy: 0.468750, lr = 0.001000
Iteration 14/1000000: Train loss: 5.120011, Train Accuracy: 0.468750, lr = 0.001000
Iteration 15/1000000: Train loss: 5.121015, Train Accuracy: 0.453125, lr = 0.001000
Iteration 16/1000000: Train loss: 5.119746, Train Accuracy: 0.500000, lr = 0.001000
Iteration 17/1000000: Train loss: 5.119068, Train Accuracy: 0.500000, lr = 0.001000
Iteration 18/1000000: Train loss: 5.119090, Train Accuracy: 0.484375, lr = 0.001000
Iteration 19/1000000: Train loss: 5.118148, Train Accuracy: 0.500000, lr = 0.001000
Iteration 20/1000000: Train loss: 5.117395, Train Accuracy: 0.515625, lr = 0.001000
Iteration 21/1000000: Train loss: 5.117332, Train Accuracy: 0.484375, lr = 0.001000
Iteration 22/1000000: Train loss: 5.117549, Train Accuracy: 0.453125, lr = 0.001000
Iteration 23/1000000: Train loss: 5.115799, Train Accuracy: 0.546875, lr = 0.001000
Iteration 24/1000000: Train loss: 5.115950, Train Accuracy: 0.531250, lr = 0.001000
Iteration 25/1000000: Train loss: 5.115931, Train Accuracy: 0.468750, lr = 0.001000
Iteration 26/1000000: Train loss: 5.114339, Train Accuracy: 0.484375, lr = 0.001000
Iteration 27/1000000: Train loss: 5.113456, Train Accuracy: 0.578125, lr = 0.001000
Iteration 28/1000000: Train loss: 5.113247, Train Accuracy: 0.515625, lr = 0.001000
Iteration 29/1000000: Train loss: 5.112892, Train Accuracy: 0.562500, lr = 0.001000
Iteration 30/1000000: Train loss: 5.111047, Train Accuracy: 0.562500, lr = 0.001000
Iteration 31/1000000: Train loss: 5.113070, Train Accuracy: 0.468750, lr = 0.001000
Iteration 32/1000000: Train loss: 5.108629, Train Accuracy: 0.625000, lr = 0.001000
Iteration 33/1000000: Train loss: 5.110638, Train Accuracy: 0.421875, lr = 0.001000
Iteration 34/1000000: Train loss: 5.109735, Train Accuracy: 0.500000, lr = 0.001000
Iteration 35/1000000: Train loss: 5.108557, Train Accuracy: 0.468750, lr = 0.001000
Iteration 36/1000000: Train loss: 5.107263, Train Accuracy: 0.468750, lr = 0.001000
Iteration 37/1000000: Train loss: 5.106483, Train Accuracy: 0.531250, lr = 0.001000
Iteration 38/1000000: Train loss: 5.105065, Train Accuracy: 0.578125, lr = 0.001000
Iteration 39/1000000: Train loss: 5.105223, Train Accuracy: 0.515625, lr = 0.001000
Iteration 40/1000000: Train loss: 5.105265, Train Accuracy: 0.421875, lr = 0.001000
Iteration 41/1000000: Train loss: 5.102932, Train Accuracy: 0.593750, lr = 0.001000
Iteration 42/1000000: Train loss: 5.102215, Train Accuracy: 0.468750, lr = 0.001000
Iteration 43/1000000: Train loss: 5.099795, Train Accuracy: 0.640625, lr = 0.001000
Iteration 44/1000000: Train loss: 5.099832, Train Accuracy: 0.484375, lr = 0.001000
Iteration 45/1000000: Train loss: 5.098624, Train Accuracy: 0.578125, lr = 0.001000
Iteration 46/1000000: Train loss: 5.096701, Train Accuracy: 0.625000, lr = 0.001000
Iteration 47/1000000: Train loss: 5.095532, Train Accuracy: 0.546875, lr = 0.001000
Iteration 48/1000000: Train loss: 5.094642, Train Accuracy: 0.515625, lr = 0.001000
Iteration 49/1000000: Train loss: 5.094459, Train Accuracy: 0.406250, lr = 0.001000
